player_name,team_name,competitions,shots,matches,goals,xg,xg_diff,per_shot_overperf,floor_95ci,ceiling_95ci,reliably_positive
Gareth Frank Bale,Real Madrid,['La Liga'],81,21,19,8.68,10.32,0.1274,0.045,0.2141,True
Luis Alberto Suárez Díaz,Barcelona,['La Liga'],139,34,40,28.11,11.89,0.0855,0.0228,0.1496,True
James David Rodríguez Rubio,Real Madrid,['La Liga'],39,17,7,2.54,4.46,0.1144,0.0093,0.2329,True
Imanol Agirretxe Arruti,Real Sociedad,['La Liga'],45,14,13,7.85,5.15,0.1144,0.009,0.2228,True
Antoine Griezmann,Atlético Madrid,['La Liga'],92,34,22,13.75,8.25,0.0897,0.0065,0.1775,True
Karim Benzema,Real Madrid,['La Liga'],98,27,24,16.92,7.08,0.0722,0.0046,0.1442,True
Iñaki Williams Arthuer,Athletic Club,['La Liga'],45,20,8,3.63,4.37,0.097,0.0036,0.2005,True
Cédric Bakambu,Villarreal,['La Liga'],49,22,12,7.45,4.55,0.0928,-0.0002,0.1976,False
Mohammed Kudus,Ghana,"['African Cup of Nations', 'FIFA World Cup']",17,5,4,1.12,2.88,0.1693,-0.0003,0.3762,False
Jozabed Sánchez Ruiz,Rayo Vallecano,['La Liga'],45,22,9,4.63,4.37,0.0971,-0.0006,0.2059,False
Xherdan Shaqiri,Switzerland,"['FIFA World Cup', 'UEFA Euro']",27,8,5,1.7,3.3,0.1224,-0.0052,0.266,False
Daniel Parejo Muñoz,Valencia,['La Liga'],46,26,8,4.34,3.66,0.0797,-0.0098,0.1807,False
Fayçal Fajr,RC Deportivo La Coruña,['La Liga'],45,26,5,2.15,2.85,0.0633,-0.0115,0.1615,False
Julián Álvarez,Argentina,"['Copa America', 'FIFA World Cup']",21,10,7,3.67,3.33,0.1586,-0.0119,0.341,False
Mikel Oyarzabal Ugarte,Real Sociedad,['La Liga'],32,17,6,2.8,3.2,0.1,-0.0131,0.2268,False
Alexandra Popp,Germany Women's,"[""UEFA Women's Euro"", ""Women's World Cup""]",31,10,8,4.05,3.95,0.1276,-0.0132,0.2801,False
Rubén Rochina Naixes,Granada,['La Liga'],78,29,6,3.5,2.5,0.032,-0.017,0.0918,False
Adalberto Peñaranda Maestre,Granada,['La Liga'],22,16,5,2.01,2.99,0.136,-0.0183,0.3103,False
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,['La Liga'],228,36,35,29.93,5.07,0.0222,-0.0186,0.0655,False
Manuel Agudo Durán,Celta Vigo,['La Liga'],81,25,12,8.12,3.88,0.0479,-0.0214,0.1279,False
Rubén Castro Martín,Real Betis,['La Liga'],103,35,19,15.1,3.9,0.0379,-0.0222,0.1026,False
Kylian Mbappé Lottin,France,"['FIFA World Cup', 'UEFA Euro']",55,16,13,9.08,3.92,0.0713,-0.0248,0.1767,False
Jesé Rodríguez Ruiz,Real Madrid,['La Liga'],21,14,5,2.41,2.59,0.1233,-0.0248,0.294,False
Lucas Pérez Martínez,RC Deportivo La Coruña,['La Liga'],98,34,17,13.96,3.04,0.031,-0.025,0.0947,False
Mubarak Wakaso,Las Palmas,['La Liga'],19,11,1,0.44,0.56,0.0296,-0.0258,0.1339,False
Ivan Rakitić,Barcelona,['La Liga'],44,25,7,4.45,2.55,0.058,-0.0261,0.1473,False
Youssef El-Arabi,Granada,['La Liga'],72,30,16,12.72,3.28,0.0455,-0.0287,0.1222,False
Patrik Schick,Czech Republic,['UEFA Euro'],16,4,5,2.31,2.69,0.1679,-0.0291,0.404,False
Willian José da Silva,Las Palmas,['La Liga'],54,21,9,6.48,2.52,0.0467,-0.0293,0.1321,False
Bruno Miguel Borges Fernandes,Portugal,"['FIFA World Cup', 'UEFA Euro']",15,6,2,1.06,0.94,0.0628,-0.0295,0.2164,False
Pablo Sarabia García,Getafe,['La Liga'],65,28,7,5.02,1.98,0.0305,-0.0297,0.0978,False
Emil Peter Forsberg,Sweden,"['FIFA World Cup', 'UEFA Euro']",29,9,5,2.64,2.36,0.0813,-0.0298,0.206,False
Juan Francisco Moreno Fuertes,RC Deportivo La Coruña,['La Liga'],20,14,1,0.49,0.51,0.0254,-0.0299,0.1249,False
Éver Maximiliano David Banega,Sevilla,['La Liga'],39,18,5,3.13,1.87,0.0479,-0.0307,0.1361,False
José Luis Morales Nogales,Levante UD,['La Liga'],72,33,7,5.12,1.88,0.0261,-0.0315,0.0901,False
Pedro Taunausú Domínguez Placeres,Las Palmas,['La Liga'],31,18,5,2.66,2.34,0.0754,-0.0315,0.2015,False
Tiago Manuel Dias Correia,Rayo Vallecano,['La Liga'],80,27,3,2.71,0.29,0.0036,-0.0323,0.0495,False
Federico Santiago Valverde Dipetta,Uruguay,"['Copa America', 'FIFA World Cup']",24,9,3,2.24,0.76,0.0317,-0.0324,0.1224,False
Ángel Martín Correa,Atlético Madrid,['La Liga'],30,16,5,2.84,2.16,0.0722,-0.0339,0.2016,False
Borja González Tomás,Eibar,['La Liga'],94,34,18,15.56,2.44,0.0259,-0.0348,0.096,False
Hakim Ziyech,Morocco,"['African Cup of Nations', 'FIFA World Cup']",27,13,3,1.94,1.06,0.0392,-0.0355,0.1382,False
Álvaro Cejudo Carmona,Real Betis,['La Liga'],36,20,1,1.16,-0.16,-0.0045,-0.0365,0.0537,False
Toni Kroos,Real Madrid,['La Liga'],20,18,1,0.78,0.22,0.0109,-0.0366,0.0984,False
Jorge Resurrección Merodio,Atlético Madrid,['La Liga'],42,28,5,3.13,1.87,0.0446,-0.0368,0.137,False
Fernando José Torres Sanz,Atlético Madrid,['La Liga'],57,25,11,8.8,2.2,0.0386,-0.037,0.1253,False
Federico Nicolás Cartabia,RC Deportivo La Coruña,['La Liga'],52,23,3,2.06,0.94,0.018,-0.0371,0.0859,False
Jonathan Rodríguez Menéndez,Sporting Gijón,['La Liga'],56,28,5,3.16,1.84,0.0328,-0.0371,0.1086,False
Lionel Andrés Messi Cuccittini,Barcelona,['La Liga'],158,32,26,23.55,2.45,0.0155,-0.0379,0.071,False
Sherida Spitse,Netherlands Women's,"[""UEFA Women's Euro"", ""Women's World Cup""]",19,10,0,0.5,-0.5,-0.0263,-0.0383,-0.0175,False
Harry Kane,England,"['FIFA World Cup', 'UEFA Euro']",44,17,14,11.08,2.92,0.0663,-0.0388,0.1763,False
Danilo Luiz da Silva,Real Madrid,['La Liga'],18,13,2,0.71,1.29,0.0717,-0.039,0.2339,False
Bruno Soriano Llido,Villarreal,['La Liga'],25,15,5,3.63,1.37,0.055,-0.0392,0.1681,False
Ivan Rakitić,Croatia,['FIFA World Cup'],17,7,3,2.53,0.47,0.0278,-0.0395,0.1139,False
Gabriel Fernández Arenas,Atlético Madrid,['La Liga'],17,12,1,0.51,0.49,0.0288,-0.0399,0.1533,False
Ander Capa Rodríguez,Eibar,['La Liga'],16,14,2,0.65,1.35,0.0842,-0.0401,0.2595,False
Jonathan Viera Ramos,Las Palmas,['La Liga'],88,33,10,9.33,0.67,0.0077,-0.0404,0.0616,False
Juan Manuel Vargas Risco,Real Betis,['La Liga'],18,11,2,0.65,1.35,0.0751,-0.041,0.2407,False
Ivan Perišić,Croatia,"['FIFA World Cup', 'UEFA Euro']",47,16,6,3.84,2.16,0.046,-0.0414,0.1437,False
Aritz Aduriz Zubeldia,Athletic Club,['La Liga'],96,31,20,17.19,2.81,0.0293,-0.0416,0.1048,False
Denis Suárez Fernández,Villarreal,['La Liga'],37,23,4,2.56,1.44,0.039,-0.0421,0.1428,False
Delphine Cascarino,France Women's,"[""UEFA Women's Euro"", ""Women's World Cup""]",15,8,1,0.53,0.47,0.0315,-0.0426,0.1696,False
Moisés Gómez Bordonado,Getafe,['La Liga'],16,12,2,1.39,0.61,0.038,-0.0429,0.1624,False
Saúl Ñíguez Esclapez,Atlético Madrid,['La Liga'],47,23,4,3.02,0.98,0.0208,-0.0441,0.1026,False
Cristiano Ronaldo dos Santos Aveiro,Portugal,"['FIFA World Cup', 'UEFA Euro']",48,13,10,8.52,1.48,0.0309,-0.0448,0.1158,False
Juan Pablo Añor Acosta,Málaga,['La Liga'],32,19,4,2.74,1.26,0.0392,-0.0454,0.1474,False
Iago Aspas Juncal,Celta Vigo,['La Liga'],82,31,14,12.7,1.3,0.0158,-0.0459,0.0843,False
Roberto José Rosales Altuve,Málaga,['La Liga'],18,12,0,0.61,-0.61,-0.0336,-0.0462,-0.0238,False
Rubén García Santos,Levante UD,['La Liga'],16,13,1,0.64,0.36,0.0225,-0.0474,0.151,False
Yannick Ferreira Carrasco,Atlético Madrid,['La Liga'],54,27,4,3.41,0.59,0.0109,-0.0481,0.0809,False
Markel Susaeta Laskurain,Athletic Club,['La Liga'],25,18,3,1.75,1.25,0.0502,-0.0485,0.1743,False
Federico Chiesa,Italy,['UEFA Euro'],16,5,2,0.74,1.26,0.0786,-0.0485,0.2609,False
Manuel Trigueros Muñoz,Villarreal,['La Liga'],30,17,2,1.4,0.6,0.0201,-0.0487,0.1159,False
Amandine Henry,France Women's,"[""Women's World Cup""]",16,5,2,0.97,1.03,0.0641,-0.049,0.225,False
Hernán Arsenio Pérez González,Espanyol,['La Liga'],47,24,7,5.03,1.97,0.0419,-0.0492,0.146,False
Luis Gerardo Chávez Magallón,Mexico,"['Copa America', 'FIFA World Cup']",17,5,1,0.59,0.41,0.0243,-0.0495,0.1509,False
José Ignacio Martínez García,Rayo Vallecano,['La Liga'],15,10,0,0.57,-0.57,-0.0379,-0.0505,-0.0272,False
Luis Alberto Romero Alconchel,RC Deportivo La Coruña,['La Liga'],79,28,6,6.25,-0.25,-0.0032,-0.0522,0.0581,False
Jennifer Hermoso Fuentes,Spain Women's,"[""Women's World Cup""]",17,4,3,2.31,0.69,0.0408,-0.0524,0.1777,False
Raúl García Escudero,Athletic Club,['La Liga'],78,28,7,6.7,0.3,0.0039,-0.0528,0.0666,False
Gonzalo Castro Irizábal,Málaga,['La Liga'],19,10,1,0.91,0.09,0.0046,-0.0539,0.111,False
Isaac Ajayi Success,Granada,['La Liga'],57,27,6,5.15,0.85,0.015,-0.0541,0.0929,False
Sergio Enrich Ametller,Eibar,['La Liga'],44,24,9,6.77,2.23,0.0506,-0.0543,0.1662,False
Samantha June Mewis,United States Women's,"[""Women's World Cup""]",16,5,2,1.07,0.93,0.0581,-0.0546,0.217,False
Lucas Vázquez Iglesias,Real Madrid,['La Liga'],24,13,4,2.03,1.97,0.082,-0.0546,0.2423,False
Beñat Etxebarria Urkiaga,Athletic Club,['La Liga'],30,19,1,1.39,-0.39,-0.0131,-0.0551,0.0592,False
André Filipe Tavares Gomes,Valencia,['La Liga'],42,25,3,2.45,0.55,0.0131,-0.0553,0.0979,False
Deyverson Brum Silva Acosta,Levante UD,['La Liga'],72,27,9,8.04,0.96,0.0134,-0.0555,0.0874,False
Charles Días Barbosa de Oliveira,Málaga,['La Liga'],86,32,12,11.46,0.54,0.0063,-0.0561,0.0762,False
Haris Seferović,Switzerland,"['FIFA World Cup', 'UEFA Euro']",15,6,3,1.34,1.66,0.1104,-0.0561,0.3113,False
José Antonio García Rabasco,Levante UD,['La Liga'],25,18,2,1.98,0.02,0.0008,-0.0561,0.0938,False
Alhassane Bangoura,Rayo Vallecano,['La Liga'],18,12,0,0.72,-0.72,-0.0401,-0.0562,-0.0265,False
Fabián Ariel Orellana Valenzuela,Celta Vigo,['La Liga'],77,30,7,7.83,-0.83,-0.0108,-0.0565,0.0406,False
