team_name,shots,goals,xg,xg_diff,xg_per_shot,conversion_rate
United States Women's,130,25,16.27,8.73,0.125,0.192
Russia,84,19,12.86,6.14,0.153,0.226
Belgium,156,23,16.93,6.07,0.109,0.147
Switzerland,132,19,15.21,3.79,0.115,0.144
France,145,22,18.39,3.61,0.127,0.152
Denmark,137,17,13.77,3.23,0.101,0.124
Croatia,165,26,22.91,3.09,0.139,0.158
Italy Women's,53,9,6.42,2.58,0.121,0.17
England,171,28,25.66,2.34,0.15,0.164
Colombia,46,9,6.7,2.3,0.146,0.196
Italy,136,19,16.9,2.1,0.124,0.14
Scotland W,32,5,2.99,2.01,0.093,0.156
Portugal,109,13,11.14,1.86,0.102,0.119
France Women's,91,10,8.15,1.85,0.09,0.11
Austria,53,5,3.3,1.7,0.062,0.094
Hungary,19,3,1.42,1.58,0.075,0.158
Japan,44,6,4.46,1.54,0.101,0.136
Czech Republic,56,6,4.62,1.38,0.083,0.107
Netherlands Women's,86,11,9.63,1.37,0.112,0.128
Brazil Women's,51,7,5.77,1.23,0.113,0.137
Sweden Women's,105,12,10.9,1.1,0.104,0.114
Netherlands,52,8,6.91,1.09,0.133,0.154
England Women's,89,13,12.25,0.75,0.138,0.146
Ukraine,51,6,5.29,0.71,0.104,0.118
Norway Women's,66,9,8.43,0.57,0.128,0.136
Argentina,58,6,5.51,0.49,0.095,0.103
Germany Women's,77,10,9.58,0.42,0.124,0.13
Argentina Women's,18,2,1.65,0.35,0.092,0.111
South Korea,34,3,2.71,0.29,0.08,0.088
Tunisia,38,5,4.81,0.19,0.127,0.132
Poland,73,6,5.91,0.09,0.081,0.082
South Africa Women's,17,1,0.92,0.08,0.054,0.059
Thailand W,13,1,0.96,0.04,0.074,0.077
Slovakia,24,1,1.08,-0.08,0.045,0.042
Nigeria,39,3,3.25,-0.25,0.083,0.077
Uruguay,63,6,6.45,-0.45,0.102,0.095
Egypt,31,2,2.46,-0.46,0.079,0.065
Australia Women's,57,9,9.52,-0.52,0.167,0.158
Senegal,29,3,3.56,-0.56,0.123,0.103
Cameroon W,43,3,3.59,-0.59,0.084,0.07
Jamaica Women's,30,1,1.61,-0.61,0.054,0.033
Finland,19,1,1.64,-0.64,0.086,0.053
North Macedonia,33,2,2.75,-0.75,0.083,0.061
Sweden,99,10,10.84,-0.84,0.109,0.101
Saudi Arabia,35,2,2.92,-0.92,0.084,0.057
Peru,33,2,3.03,-1.03,0.092,0.061
Costa Rica,28,1,2.24,-1.24,0.08,0.036
Panama,24,1,2.25,-1.25,0.094,0.042
New Zealand Women's,17,0,1.25,-1.25,0.074,0.0
Iran,23,1,2.32,-1.32,0.101,0.043
China PR Women's,40,1,2.33,-1.33,0.058,0.025
Morocco,39,2,3.37,-1.37,0.086,0.051
Wales,39,3,4.5,-1.5,0.115,0.077
Nigeria Women's,32,1,2.51,-1.51,0.078,0.031
Mexico,62,3,4.6,-1.6,0.074,0.048
Chile Women's,34,1,2.67,-1.67,0.078,0.029
Turkey,41,1,2.83,-1.83,0.069,0.024
Japan Women's,54,3,4.88,-1.88,0.09,0.056
Australia,34,2,3.93,-1.93,0.116,0.059
Korea Republic Women's,44,1,3.1,-2.1,0.07,0.023
Scotland,41,1,3.37,-2.37,0.082,0.024
Canada Women's,61,4,6.62,-2.62,0.109,0.066
Serbia,35,2,4.63,-2.63,0.132,0.057
Iceland,36,2,4.82,-2.82,0.134,0.056
Spain Women's,74,4,7.02,-3.02,0.095,0.054
Brazil,103,8,13.65,-5.65,0.132,0.078
Spain,203,24,30.56,-6.56,0.151,0.118
Germany,123,6,12.84,-6.84,0.104,0.049
